N,radix,OCS_s,EPS_s,speedup
16,ideal,0.1268,0.2194,1.729
16,32,0.1268,0.2194,1.729
16,16,0.1268,0.2194,1.729
16,8,0.2507,0.2194,0.875
24,ideal,0.1884,0.3304,1.754
24,32,0.1884,0.3304,1.754
24,16,0.2803,0.3304,1.179
24,8,0.556,0.3304,0.594
32,ideal,0.2232,0.3907,1.75
32,32,0.2232,0.3907,1.75
32,16,0.4403,0.3907,0.887
32,8,0.8744,0.3907,0.447
48,ideal,0.2672,0.4676,1.75
48,32,0.3961,0.4676,1.181
48,16,0.7827,0.4676,0.597
48,8,1.556,0.4676,0.301
64,ideal,0.2874,0.4976,1.731
64,32,0.5623,0.4976,0.885
64,16,1.112,0.4976,0.448
64,8,2.2113,0.4976,0.225
