pattern,paradigm,N,oversub,spineRate,Trecfg_us,mean_CCT_s,std_CCT_s,nseeds
all_to_all,eps,8,4,25,200,0.07000,0.00000,5
all_to_all,ocs,8,4,25,200,0.07140,0.00000,5
all_to_all,eps,16,4,25,200,0.21935,0.01966,5
all_to_all,ocs,16,4,25,200,0.12685,0.01006,5
all_to_all,eps,24,4,25,200,0.33038,0.01916,5
all_to_all,ocs,24,4,25,200,0.18839,0.01044,5
all_to_all,eps,32,4,25,200,0.39072,0.02199,5
all_to_all,ocs,32,4,25,200,0.22324,0.01155,5
all_to_all,eps,48,4,25,200,0.46761,0.01795,5
all_to_all,ocs,48,4,25,200,0.26717,0.00898,5
all_to_all,eps,64,4,25,200,0.49765,0.02150,5
all_to_all,ocs,64,4,25,200,0.28744,0.01160,5
all_to_all,eps,32,4,100,200,0.21704,0.01155,5
all_to_all,ocs,32,4,100,200,0.22324,0.01155,5
all_to_all,eps,32,4,50,200,0.30784,0.01707,5
all_to_all,ocs,32,4,50,200,0.22324,0.01155,5
all_to_all,eps,32,4,12,200,0.62561,0.03573,5
all_to_all,ocs,32,4,12,200,0.22324,0.01155,5
ring_allreduce,eps,8,4,25,200,0.14000,0.00000,5
ring_allreduce,ocs,8,4,25,200,0.14020,0.00000,5
ring_allreduce,eps,16,4,25,200,0.64373,0.00000,5
ring_allreduce,ocs,16,4,25,200,0.35787,0.00000,5
ring_allreduce,eps,32,4,25,200,1.27785,0.08939,5
ring_allreduce,ocs,32,4,25,200,0.70561,0.04904,5
ring_allreduce,eps,64,4,25,200,1.47185,0.19846,5
ring_allreduce,ocs,64,4,25,200,0.81788,0.12042,5
all_to_all_recfg,ocs,32,4,25,50,0.21859,0.01155,5
all_to_all_recfg,ocs,32,4,25,100,0.22014,0.01155,5
all_to_all_recfg,ocs,32,4,25,200,0.22324,0.01155,5
all_to_all_recfg,ocs,32,4,25,500,0.23254,0.01155,5
all_to_all_recfg,ocs,32,4,25,1000,0.24804,0.01155,5
all_to_all_recfg,ocs,32,4,25,2000,0.27904,0.01155,5
